run number;step;mean norm-perception;SD;median norm-perception;iqr;q1;q3;agent 1;agent 2;agent 3;agent 4;agent 5;agent 6;agent 7;agent 8;agent 9;agent 10;agent 11;agent 12;agent 13;agent 14;agent 15;agent 16;agent 17;agent 18;agent 19;agent 20;agent 21;agent 22;agent 23;agent 24;agent 25;agent 26;agent 27;agent 28;agent 29;agent 30;agent 31;agent 32;agent 33;agent 34;agent 35;agent 36;agent 37;agent 38;agent 39;agent 40;agent 41;agent 42;agent 43;agent 44;agent 45;agent 46;agent 47;agent 48;agent 49;agent 50;agent 51;agent 52;agent 53;agent 54;agent 55;agent 56;agent 57;agent 58;agent 59;agent 60;agent 61;agent 62;agent 63;agent 64;agent 65;agent 66;agent 67;agent 68;agent 69;agent 70;agent 71;agent 72;agent 73;agent 74;agent 75;agent 76;agent 77;agent 78;agent 79;agent 80;agent 81;agent 82;agent 83;agent 84;agent 85;agent 86;agent 87;agent 88;agent 89;agent 90;agent 91;agent 92;agent 93;agent 94;agent 95;agent 96;agent 97;agent 98;agent 99;agent 100
8;377;0.79;0.06;0.79;0.04;0.77;0.81;0.82;0.78;0.77;0.78;0.79;0.82;0.8;0.77;0.8;0.8;0.83;0.8;0.82;0.78;0.76;0.85;0.8;0.78;0.87;0.8;0.77;0.77;0.77;0.8;0.81;0.78;0.81;0.8;0.88;0.77;0.9;0.72;0.82;0.78;0.76;0.77;0.8;0.83;0.76;0.92;0.8;0.65;0.84;0.78;0.86;0.62;0.78;0.7;0.77;0.82;0.77;0.63;0.74;0.89;0.8;0.78;0.77;0.79;0.8;0.76;0.75;0.79;0.78;0.89;0.78;0.79;0.79;0.77;0.85;1;0.79;0.79;0.67;0.77;0.9;0.78;0.75;0.8;0.78;0.88;0.79;0.76;0.77;0.77;0.78;0.88;0.98;0.81;0.79;0.83;0.79;0.77;0.78;0.77;0.77;0.67;0.8;0.77;0.77;0.79
9;377;0.83;0.05;0.82;0.05;0.80;0.85;0.83;0.9;0.79;0.84;0.82;0.98;0.88;0.89;0.82;0.8;0.78;0.87;0.81;0.82;0.88;0.77;0.88;0.78;0.86;0.8;0.84;0.82;0.83;0.85;0.82;0.81;0.81;0.83;0.81;0.83;0.8;0.92;0.81;0.84;0.84;0.77;0.81;0.83;0.87;0.85;0.79;0.84;0.82;0.82;0.9;0.81;0.8;0.85;0.89;0.84;0.83;0.81;0.85;0.99;0.81;0.95;0.8;0.79;0.82;0.84;0.76;0.8;0.78;0.8;0.82;0.8;0.87;0.93;0.89;0.77;0.78;0.77;0.82;0.82;0.86;0.78;0.94;0.8;0.79;0.78;0.81;0.78;0.82;0.79;0.79;0.83;0.8;0.89;0.99;0.81;0.81;0.82;0.83;0.8;0.86;0.82;0.8;0.83;0.82;0.79
10;377;0.81;0.07;0.80;0.06;0.78;0.84;0.79;0.87;0.78;0.83;0.81;0.77;0.83;0.8;0.78;0.65;0.87;0.76;0.79;0.78;0.76;0.81;0.8;0.83;0.84;0.8;0.76;0.82;0.8;0.79;0.78;0.8;0.73;0.77;0.84;0.87;0.69;0.77;0.98;0.78;0.92;0.75;0.86;0.79;0.78;0.78;0.81;0.94;0.78;0.81;0.79;0.8;0.82;0.89;0.7;0.68;1;0.83;0.83;0.79;0.77;0.82;0.71;0.91;0.77;0.82;0.8;0.91;0.89;0.81;0.76;0.79;0.78;0.94;0.79;0.81;0.76;0.98;0.8;0.66;0.77;0.8;0.79;0.85;0.78;0.79;0.85;0.81;0.85;0.78;0.98;0.99;0.84;0.79;0.86;0.77;0.78;0.81;0.83;0.86;0.85;0.78;0.8;0.81;0.83;0.86
11;377;0.98;0.01;0.98;0.00;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.97;0.98;0.98;0.98;0.98;0.99;0.98;0.98;0.98;0.99;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.97;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.99;0.98;0.99;0.97;0.98;0.98;0.98;0.98;0.99;0.98;0.98;0.98;0.96;0.95;0.98;0.98;0.97;0.98;0.96;0.93;0.98;0.98;0.98;0.98;0.98;0.99;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;1;0.98;0.97;0.94;0.98;0.98;0.99;0.99;0.98;0.98;0.98
12;377;0.93;0.06;0.95;0.07;0.91;0.98;0.83;0.94;0.93;0.99;0.91;0.98;0.73;0.88;0.98;0.96;0.96;0.98;0.98;0.83;0.98;0.99;0.99;0.95;0.82;0.88;0.95;0.97;0.93;0.89;0.89;0.84;0.93;0.87;0.97;0.97;0.94;0.97;0.95;0.94;0.98;0.96;0.83;0.91;0.86;0.98;1;0.94;0.92;0.95;0.87;0.82;0.99;0.95;0.97;0.71;0.98;0.94;0.95;0.84;0.93;0.92;0.83;0.98;0.89;0.96;0.96;0.93;0.94;0.98;0.93;0.89;0.96;0.94;0.98;0.82;0.98;0.98;0.92;0.99;0.98;0.74;0.94;0.94;0.96;0.95;0.94;0.93;0.95;0.94;0.94;0.97;0.95;0.87;0.98;0.98;0.99;0.9;0.96;0.98;0.99;0.91;1;0.98;0.94;0.88
13;377;0.89;0.06;0.89;0.08;0.85;0.93;0.87;0.92;0.95;0.96;0.9;0.85;0.93;0.86;0.99;0.84;0.9;0.86;0.88;0.89;0.89;0.91;0.87;0.98;0.84;0.89;0.84;0.86;0.78;0.91;0.84;0.59;0.83;0.84;0.98;0.93;0.87;0.85;0.83;0.98;0.99;0.93;0.85;0.83;1;0.91;0.84;0.98;0.79;0.82;0.89;0.85;0.87;0.98;0.71;0.99;0.9;0.86;0.95;0.92;0.82;0.93;0.9;0.87;0.88;0.9;0.98;0.88;0.85;0.91;0.89;0.89;1;0.95;0.87;0.94;0.85;0.83;0.9;0.92;0.89;0.85;0.97;0.85;0.99;0.89;0.84;0.84;0.88;0.83;0.86;0.88;0.85;0.98;0.89;0.94;0.97;0.88;0.93;0.89;0.85;0.88;0.89;0.83;0.86;0.76
14;377;0.53;0.07;0.51;0.04;0.50;0.54;0.51;0.51;0.49;0.49;0.54;0.49;0.5;0.52;0.55;0.49;0.65;0.52;0.53;0.48;0.51;0.53;0.55;0.6;0.61;0.49;0.5;0.53;0.53;0.5;0.5;0.49;0.63;0.5;0.43;0.5;0.55;0.52;0.56;0.5;0.53;0.54;0.55;0.5;0.49;0.5;0.56;0.54;0.56;0.51;0.5;0.59;0.54;1;0.5;0.49;0.51;0.48;0.48;0.54;0.51;0.72;0.48;0.56;0.65;0.52;0.48;0.51;0.5;0.49;0.51;0.5;0.53;0.5;0.5;0.51;0.65;0.72;0.51;0.49;0.51;0.53;0.47;0.51;0.51;0.53;0.48;0.53;0.51;0.56;0.54;0.53;0.47;0.59;0.5;0.71;0.48;0.45;0.51;0.46;0.68;0.53;0.52;0.65;0.57;0.45
15;377;0.46;0.10;0.45;0.08;0.42;0.50;0.36;0.5;0.44;0.98;0.52;0.44;0.52;0.5;0.46;0.4;0.53;0.42;0.52;0.43;0.4;0.43;0.47;0.39;0.46;0.43;0.52;0.45;0.49;0.44;0.34;0.46;0.44;0.52;0.57;0.65;0.52;0.45;0.44;0.45;0.44;0.56;0.79;0.42;0.6;0.46;0.44;0.42;0.29;0.3;0.01;0.64;0.36;0.48;0.46;0.43;0.42;0.39;0.45;0.5;0.36;0.36;0.4;0.47;0.42;0.33;0.41;0.58;0.32;0.44;0.7;0.49;0.42;0.51;0.52;0.42;0.53;0.58;0.44;0.44;0.44;0.38;0.5;0.41;0.33;0.37;0.49;0.45;0.42;0.48;0.43;0.53;0.43;0.43;0.45;0.43;0.45;0.44;0.53;0.5;0.53;0.57;0.45;0.51;0.46;0.44
16;377;0.82;0.06;0.80;0.04;0.79;0.83;0.82;0.78;0.81;0.85;0.76;0.8;0.82;0.8;0.77;0.88;0.79;0.74;0.84;0.78;0.77;0.8;0.91;0.8;0.79;0.82;0.83;0.85;0.83;0.8;0.78;0.77;0.84;0.78;1;0.8;0.78;0.8;0.92;0.99;0.81;0.79;0.88;0.81;0.8;0.83;0.83;0.78;0.95;0.77;0.78;0.91;0.89;0.79;0.76;0.82;0.8;0.81;0.79;0.91;0.8;0.77;0.8;0.77;0.75;0.79;0.79;0.79;0.83;0.82;0.77;0.87;0.82;0.9;0.89;0.82;0.87;0.8;0.8;0.75;0.84;0.77;0.81;0.8;0.82;0.8;0.79;0.87;0.99;0.81;0.99;0.55;0.82;0.82;0.78;0.78;0.8;0.79;0.83;0.81;0.75;0.81;0.79;0.98;0.8;0.83
17;377;0.06;0.04;0.06;0.07;0.02;0.09;0.05;0.08;0.06;0.05;0.08;0.02;0.04;0.09;0.05;0.09;0.06;0.02;0.07;0.01;0.06;0.09;0.08;0.05;0.11;0.07;0.07;0.11;0.02;0.03;0.02;0.04;0.1;0.16;0.01;0.06;0.01;0.1;0.08;0.12;0.02;0.05;0.12;0.05;0.1;0.09;0.09;0.01;0.09;0.11;0.12;0.11;0.12;0.01;0.05;0.05;0.12;0.02;0.02;0.02;0.07;0.05;0.09;0.01;0.02;0.1;0.03;0.03;0.04;0.01;0.02;0.02;0.01;0.06;0.11;0.1;0.02;0.01;0.12;0.11;0.09;0.04;0.06;0.05;0.02;0.01;0.06;0.11;0.09;0.07;0.11;0.11;0.07;0.09;0.11;0.02;0.02;0.11;0.01;0.04;0.17;0.06;0.08;0;0.06;0.02
18;377;0.92;0.05;0.92;0.07;0.88;0.95;0.98;0.92;0.9;0.95;0.98;0.81;0.86;0.98;0.85;0.91;0.92;0.94;0.97;0.98;0.85;0.85;0.97;0.98;0.85;0.93;0.93;0.76;0.94;0.93;0.98;0.85;0.99;0.93;0.85;0.98;0.93;0.95;0.93;0.96;0.96;0.91;0.91;0.81;0.99;0.97;0.89;0.94;0.93;0.92;0.92;0.9;0.87;0.94;0.88;0.86;0.93;0.93;0.92;0.88;0.94;0.91;0.92;0.84;0.98;0.92;0.89;0.98;0.95;0.87;0.98;0.85;0.91;0.89;0.96;0.98;0.88;0.95;0.81;0.92;0.88;0.85;1;1;0.91;0.85;0.91;0.98;0.94;0.93;0.9;0.88;0.92;0.92;0.98;0.86;0.85;0.86;0.91;0.99;0.91;0.92;0.93;0.94;0.91;0.87
19;377;0.27;0.07;0.28;0.03;0.26;0.29;0.28;0.3;0.28;0.29;0.27;0.29;0.42;0.3;0.29;0.25;0.16;0.28;0.29;0.3;0.28;0.14;0.26;0.3;0.25;0.29;0.13;0.07;0.26;0.29;0.28;0.3;0.25;0.28;0.29;0.24;0.31;0.29;0.26;0.25;0.27;0.29;0.31;0.27;0.29;0.27;0.26;0.29;0.33;0.26;0.27;0.28;0.29;0.29;0.26;0.25;0.28;0.29;0.28;0.29;0.26;0.27;0.27;0.28;0.32;0.27;0.33;0.13;0.3;0.28;0.28;0.32;0.25;0.28;0.29;0.27;0.19;0.22;0.28;0.06;0.28;0.27;0.28;0.09;0.25;0.28;0.01;0.29;0.22;0.29;0.45;0.49;0.32;0.24;0.23;0.52;0.24;0.29;0.28;0.27;0.29;0.25;0.29;0.29;0.26;0.3
20;377;0.96;0.04;0.98;0.05;0.93;0.98;0.93;0.98;0.98;0.93;0.92;0.98;0.98;0.96;0.88;0.97;1;0.9;0.98;0.98;0.94;0.98;0.98;0.98;0.91;0.98;0.95;0.99;0.98;0.98;0.98;0.98;0.98;0.91;0.99;0.98;0.89;0.96;0.98;0.97;0.9;0.98;0.98;0.98;0.93;0.99;0.91;0.98;0.98;0.98;0.95;0.91;0.91;0.98;0.91;0.92;0.98;1;0.98;0.85;0.92;0.99;0.98;0.98;0.81;0.97;0.98;0.98;0.98;0.98;0.98;0.98;0.93;0.98;0.98;0.96;0.99;0.95;0.98;0.92;0.96;0.99;0.98;0.99;0.94;0.95;1;0.95;0.98;0.92;0.99;0.96;0.96;0.98;0.92;0.95;0.96;0.99;0.95;0.84;0.98;0.98;0.91;0.93;0.92;0.98
21;377;0.92;0.06;0.93;0.08;0.88;0.96;0.88;0.81;0.92;0.74;0.98;0.94;0.9;0.83;0.91;0.96;0.96;0.95;0.84;0.97;0.95;0.93;0.95;0.94;0.99;0.95;0.87;0.84;1;0.99;0.94;0.89;0.99;0.9;0.99;0.98;0.88;0.95;0.95;0.98;0.98;0.87;0.83;0.88;0.94;0.92;0.94;0.96;0.98;0.99;0.92;0.93;0.75;0.91;0.81;0.86;0.87;0.84;0.9;0.89;0.84;0.95;0.9;0.97;0.89;0.93;0.84;0.95;0.96;1;0.86;0.85;0.93;0.94;1;0.95;0.88;0.92;0.99;0.95;0.93;0.99;0.95;0.85;0.99;0.83;0.86;0.96;0.92;0.99;0.91;0.86;0.94;0.99;0.87;0.94;0.94;0.88;0.95;1;0.95;0.85;0.94;0.9;0.86;0.96
22;377;0.90;0.05;0.89;0.06;0.87;0.93;0.82;0.87;0.95;0.82;0.86;0.91;0.98;0.96;0.88;0.9;0.87;0.9;0.88;0.94;0.9;0.88;0.89;0.91;0.84;0.87;0.84;0.98;0.89;0.86;0.89;0.81;0.88;0.92;0.83;0.95;0.83;0.98;0.88;0.95;0.86;0.98;1;0.97;0.93;0.83;0.87;0.87;0.87;0.89;0.88;0.92;0.98;0.91;0.98;0.97;0.96;0.85;0.93;0.92;0.98;0.9;0.85;0.89;0.88;0.88;0.87;0.91;0.85;0.89;0.87;0.98;0.92;0.9;0.87;0.87;0.9;0.92;0.9;0.93;0.94;0.87;0.91;0.81;0.86;0.92;1;0.87;0.89;0.93;0.88;0.91;0.88;0.94;0.87;0.87;0.84;0.9;0.88;0.87;0.82;0.93;0.98;0.89;0.96;0.89
23;377;0.86;0.07;0.84;0.09;0.81;0.90;0.83;0.84;0.81;0.82;0.89;0.81;0.91;0.82;0.8;1;0.88;0.81;0.91;0.82;0.98;0.79;0.84;0.86;0.94;0.93;0.76;0.79;0.91;0.82;0.92;0.89;0.85;0.8;0.85;0.82;0.82;0.84;0.81;0.81;0.82;0.84;0.84;0.79;0.81;0.83;0.84;0.88;0.87;0.85;0.99;0.84;0.89;0.81;0.79;0.91;0.82;0.77;0.99;0.84;0.85;0.81;0.81;1;0.81;0.79;0.85;0.91;0.83;0.8;0.72;0.92;0.91;0.82;0.78;0.8;0.83;0.81;0.8;0.8;0.85;0.9;0.81;0.86;0.77;0.87;0.86;0.98;0.92;0.98;0.74;0.98;0.98;0.98;0.85;0.91;0.8;0.94;0.8;0.97;0.89;0.86;0.75;1;0.8;0.84
24;377;0.06;0.04;0.05;0.05;0.02;0.07;0.04;0.03;0.05;0.07;0.05;0.01;0.05;0.02;0.11;0.04;0.05;0.03;0.02;0.08;0.03;0.07;0.14;0.06;0.08;0.13;0.16;0.13;0.05;0.02;0.02;0.02;0.04;0.04;0.06;0.14;0.11;0.02;0.01;0.05;0.02;0.02;0.05;0.01;0.07;0.04;0.22;0.08;0.02;0.05;0.07;0.02;0.02;0.05;0.02;0.03;0.04;0.04;0.05;0.07;0.02;0.07;0.04;0.04;0.02;0.02;0.06;0.02;0.21;0.1;0.02;0.02;0.02;0.14;0.04;0.1;0.02;0.07;0.06;0.06;0.05;0.01;0.03;0.07;0.15;0.02;0.18;0.05;0.05;0.09;0.03;0.02;0.01;0.06;0.02;0.06;0.02;0.07;0.07;0.04;0.06;0.02;0.05;0.08;0.07;0.02
25;377;0.95;0.03;0.94;0.05;0.93;0.98;0.98;0.93;0.98;0.93;0.92;0.91;0.93;0.96;0.92;0.94;0.98;0.95;0.95;0.91;0.93;0.98;0.9;0.96;0.96;0.89;0.99;0.93;0.98;0.93;0.92;0.99;0.98;0.95;0.98;0.99;0.98;0.96;0.92;0.9;0.98;0.97;0.94;0.94;0.95;0.98;0.93;0.95;0.98;0.98;0.99;0.98;0.93;0.94;0.98;0.98;0.98;0.92;0.92;0.94;0.98;0.96;1;0.92;0.93;0.94;0.91;0.9;0.9;0.94;0.93;0.91;0.94;0.94;1;0.98;0.98;0.92;0.97;0.96;0.93;0.9;0.94;0.89;0.94;0.98;0.94;0.97;0.97;0.95;0.98;0.98;0.94;0.98;0.93;0.92;0.94;0.98;0.93;0.94;0.93;0.95;0.92;0.96;0.95;0.98
26;377;0.02;0.01;0.02;0.00;0.02;0.02;0.08;0.03;0.02;0.02;0.01;0.01;0.02;0.02;0.02;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.02;0.03;0.02;0.02;0.02;0.03;0.02;0.02;0;0.03;0.02;0.05;0.02;0.02;0.02;0.02;0.03;0.02;0.02;0.02;0.01;0.02;0.04;0.02;0;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.02;0.02;0.03;0.05;0.02;0.02;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.02;0.02;0.01;0.02;0.02;0.02;0.02;0.04;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.05;0.02;0.02;0.02;0.02;0.02;0.01;0.02
27;377;0.97;0.02;0.98;0.02;0.96;0.98;0.98;0.98;0.98;0.98;0.98;0.98;1;0.98;0.98;0.95;0.98;0.96;0.99;0.98;0.95;0.99;0.95;0.98;0.95;0.98;0.99;0.98;0.96;0.96;0.98;0.98;0.94;0.98;0.94;0.97;0.97;0.95;0.95;1;0.97;0.98;0.98;0.98;0.98;0.98;0.95;0.94;0.99;0.93;0.96;0.97;0.96;0.96;0.98;0.98;0.98;0.98;0.95;0.98;0.96;0.94;0.97;0.98;0.98;0.95;0.97;0.97;0.98;0.98;0.93;0.95;0.98;0.96;0.97;0.95;0.98;0.98;0.98;0.94;0.98;0.96;0.98;0.95;0.95;0.98;0.97;1;0.96;0.98;0.98;1;0.99;0.99;0.97;0.98;0.98;0.98;0.98;1;0.98;0.97;0.99;0.98;0.98;0.99
28;377;0.96;0.03;0.98;0.02;0.96;0.98;0.93;0.98;0.96;0.98;0.98;0.95;0.97;0.96;0.79;0.94;0.96;0.98;0.98;0.94;0.98;0.98;0.95;0.98;0.98;0.92;0.91;0.98;0.98;0.98;0.98;0.94;0.98;0.86;0.92;0.98;0.96;0.98;0.98;0.98;0.93;0.97;0.98;0.98;0.99;0.98;0.98;0.98;0.96;0.98;0.98;0.98;0.98;0.98;0.93;0.96;0.98;0.96;0.98;0.93;0.98;0.98;0.96;0.98;0.94;0.92;0.98;0.98;0.98;0.96;0.99;0.96;0.96;0.94;0.98;0.98;0.98;0.98;0.96;0.98;0.96;0.98;0.97;0.98;0.96;0.98;0.98;0.96;1;0.88;0.98;0.95;0.95;0.98;0.99;0.95;0.97;0.94;0.96;0.98;0.98;0.95;0.98;0.93;0.97;0.95
29;377;0.97;0.03;0.98;0.02;0.96;0.98;0.98;0.98;0.98;0.96;0.97;0.98;0.97;0.98;0.99;0.9;0.94;0.98;0.98;0.94;0.98;0.91;0.98;0.98;0.95;0.95;0.98;0.94;0.98;0.97;0.98;0.98;0.98;1;0.97;0.97;0.96;1;0.98;0.98;0.94;0.95;0.98;0.98;0.89;0.98;0.97;0.98;0.98;0.98;0.98;0.95;0.99;0.9;0.98;0.98;0.98;0.99;0.99;0.97;0.97;0.94;0.98;0.96;0.98;0.98;0.96;0.96;0.97;0.89;0.95;0.98;0.99;0.98;0.96;0.97;0.98;0.98;0.88;0.91;0.98;0.98;0.98;0.98;0.98;0.95;0.98;0.88;0.91;0.97;0.92;0.94;0.99;0.97;0.97;0.97;0.94;0.94;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98
30;377;0.98;0.01;0.98;0.00;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.97;0.98;0.98;0.98;0.99;0.98;0.99;0.98;0.98;0.97;0.98;0.96;0.98;1;0.98;0.98;0.98;0.99;0.98;1;0.98;0.99;0.95;0.98;0.95;0.94;0.97;0.98;0.97;0.99;0.96;0.98;0.99;0.98;0.96;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.96;0.99;0.9;0.98;0.96;0.94;0.98;0.98;0.98;0.98;0.99;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.97;0.98;0.98;0.97;0.94;0.98;0.98;0.98;0.97;0.97;0.98;0.98;0.99;0.98;1;0.95;0.98;0.96;0.98;0.97;0.98;0.98;0.97;0.98;0.96;0.98;0.98;0.98;0.98
31;377;0.62;0.05;0.63;0.07;0.59;0.66;0.56;0.64;0.59;0.64;0.56;0.66;0.58;0.67;0.6;0.66;0.65;0.67;0.57;0.59;0.65;0.72;0.6;0.63;0.66;0.61;0.66;0.55;0.63;0.67;0.71;0.59;0.53;0.63;0.59;0.62;0.57;0.62;0.59;0.6;0.66;0.69;0.76;0.61;0.63;0.68;0.63;0.69;0.57;0.59;0.62;0.64;0.65;0.6;0.58;0.6;0.68;0.65;0.65;0.61;0.62;0.65;0.5;0.62;0.66;0.69;0.61;0.51;0.7;0.54;0.49;0.59;0.51;0.62;0.77;0.55;0.63;0.63;0.56;0.64;0.6;0.64;0.54;0.63;0.7;0.62;0.6;0.68;0.58;0.68;0.67;0.71;0.68;0.64;0.59;0.7;0.64;0.64;0.58;0.64;0.58;0.61;0.68;0.68;0.49;0.66
32;377;0.43;0.07;0.44;0.05;0.41;0.46;0.32;0.41;0.44;0.4;0.43;0.47;0.47;0.41;0.42;0.38;0.45;0.31;0.43;0.47;0.5;0.38;0.33;0.46;0.43;0.44;0.44;0.46;0.4;0.44;0.33;0.46;0.5;0.38;0.48;0.4;0.48;0.42;0.43;0.36;0.4;0.47;0.42;0.52;0.43;0.41;0.46;0.41;0.56;0.47;0.43;0.45;0.44;0.52;0.38;0.46;0.5;0.43;0.43;0.42;0.44;0.48;0.45;0.45;0.46;0.38;0.44;0.44;0.47;0.43;0.45;0.46;0.46;0.32;0.43;0.44;0.02;0.33;0.32;0.38;0.37;0.47;0.45;0.44;0.41;0.28;0.46;0.48;0.47;0.42;0.42;0.44;0.44;0.39;0.42;0.44;0.46;0.46;0.46;0.26;0.42;0.49;0.5;0.44;0.4;0.46
33;377;0.97;0.02;0.98;0.00;0.98;0.98;0.98;0.98;0.96;0.98;0.98;0.98;0.98;0.95;0.98;0.98;0.98;0.9;0.98;0.98;0.99;0.98;0.98;0.98;0.96;0.98;0.98;0.99;0.98;0.98;0.98;0.93;0.97;0.97;0.99;0.98;0.99;0.98;0.98;0.98;0.98;0.98;0.97;0.98;0.99;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.97;0.98;0.98;0.98;0.98;0.91;0.99;0.97;0.98;0.98;0.97;0.96;0.98;0.98;0.98;0.97;0.98;0.98;0.99;0.99;0.95;0.98;0.98;0.99;0.97;0.98;0.98;0.98;0.98;0.98;0.98;0.97;0.98;0.98;0.96;0.98;0.98;0.98;0.88;0.94;0.98;0.97;0.93;0.99;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.93;0.98
34;377;0.85;0.07;0.86;0.08;0.81;0.89;0.75;0.82;0.83;0.78;0.85;0.88;0.8;0.87;0.79;0.77;0.98;0.64;0.9;0.8;0.78;0.89;0.94;0.79;0.89;0.78;0.74;0.88;0.87;0.88;0.78;0.89;0.72;0.87;0.78;0.77;0.89;0.78;0.82;0.87;0.91;0.8;0.94;1;0.81;0.86;1;0.8;0.85;0.87;0.84;0.83;0.86;0.98;0.8;0.85;0.95;0.85;0.89;0.98;0.91;0.89;0.91;0.83;0.87;0.82;0.81;0.84;0.84;0.86;0.91;0.83;0.84;0.86;0.89;0.88;0.87;0.87;0.98;0.9;0.81;0.87;0.63;0.79;0.86;0.82;0.89;0.82;0.83;0.93;0.99;0.86;0.78;0.82;0.92;0.84;0.88;0.79;0.82;0.79;0.71;0.89;0.91;0.83;0.86;0.99
35;377;0.03;0.03;0.02;0.02;0.02;0.04;0.05;0.02;0.02;0.17;0.02;0.02;0.02;0.02;0.02;0.05;0.02;0.1;0.03;0.06;0.02;0.02;0.02;0.06;0.02;0.02;0;0.05;0.02;0.02;0.02;0.03;0.2;0.02;0.05;0.01;0.03;0.01;0.04;0.01;0.02;0.03;0.09;0.04;0.03;0.02;0.02;0.02;0;0.02;0.04;0.02;0.02;0.02;0.05;0.02;0.05;0.02;0.02;0.02;0.05;0.05;0.05;0.06;0.05;0.02;0.02;0.02;0.01;0.01;0.02;0.02;0.04;0.02;0.03;0.02;0.08;0.04;0.06;0.02;0.18;0.03;0.04;0.1;0.02;0;0.03;0.05;0.04;0.06;0.02;0.02;0.02;0.02;0.07;0.05;0.02;0.03;0.02;0.02;0.02;0.04;0.02;0.01;0;0.02
36;377;0.98;0.01;0.98;0.00;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;1;0.98;0.98;0.98;0.98;0.98;0.98;0.98;1;0.98;0.98;0.99;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.99;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.99;0.98;0.98;0.98;0.98;0.98;0.98;0.99;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.99;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.97;0.98;1;0.98;0.99;0.98;0.96;0.98;0.98;0.98;0.91;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.96
37;377;0.73;0.11;0.74;0.08;0.69;0.77;0.76;0.77;0.61;0.7;0.77;0.76;0.7;0.78;0.71;0.38;0.72;0.76;0.72;0.69;0.81;0.9;0.76;0.76;0.71;0.66;0.82;0.68;0.83;0.78;0.72;0.69;0.8;0.78;0.77;0.88;0.77;0.75;0.76;0.75;0.74;0.7;0.87;0.74;0.82;0.7;0.67;0.77;0.73;0.84;0.77;0.76;0.68;0.66;0.68;0.86;0.84;0.68;0.68;0.71;0.77;0.75;0.66;0.79;0.78;0.67;0.65;0.8;0.6;0.69;0.72;0.64;0.74;0.77;0.77;0.76;0.71;0.8;0.68;0.83;0;0.74;0.83;0.69;0.76;0.67;0.67;0.64;0.66;0.73;0.65;0.74;0.79;0.76;0.74;0.77;0.76;0.84;0.73;0.76;1;0.65;0.73;0.63;0.77;0.69
38;377;0.06;0.04;0.05;0.08;0.02;0.10;0.06;0.03;0.11;0.02;0.01;0.05;0.13;0.02;0.02;0.01;0.14;0.02;0.1;0.08;0.12;0.08;0.04;0.07;0.1;0.14;0.02;0.06;0.02;0.14;0.03;0;0.05;0.05;0.02;0.15;0.05;0.11;0.08;0.02;0.04;0;0.04;0.11;0.02;0.15;0.04;0.09;0.02;0.01;0.04;0.1;0.15;0.02;0.05;0.09;0.11;0.09;0;0.08;0.06;0.02;0.11;0.01;0.11;0.08;0.15;0.12;0.14;0.09;0.02;0.01;0.02;0.08;0.08;0.1;0.02;0.13;0.04;0.06;0.02;0.03;0.08;0.09;0.01;0.12;0;0.02;0.11;0.07;0.02;0.02;0.09;0.12;0.04;0.04;0.02;0.11;0.01;0.12;0.01;0.02;0.05;0.07;0.02;0.11
